Sensor,Date_Time,Date,Time,Count
Flinders St-Spring St (West),2018-12-31T14:00:00Z,2019-01-01,1,248
Flinders St-Spark La,2018-12-31T14:00:00Z,2019-01-01,1,374
Southbank,2018-12-31T14:00:00Z,2019-01-01,1,6096
Queen St (West),2018-12-31T14:00:00Z,2019-01-01,1,607
Lygon St (East),2018-12-31T14:00:00Z,2019-01-01,1,78
Flinders St-Swanston St (West),2018-12-31T14:00:00Z,2019-01-01,1,934
Alfred Place,2018-12-31T14:00:00Z,2019-01-01,1,99
Lonsdale St-Spring St (West),2018-12-31T14:00:00Z,2019-01-01,1,153
Grattan St-Swanston St (West),2018-12-31T14:00:00Z,2019-01-01,1,49
Monash Rd-Swanston St (West),2018-12-31T14:00:00Z,2019-01-01,1,4
Tin Alley-Swanston St (West),2018-12-31T14:00:00Z,2019-01-01,1,12
Bourke Street Mall (North),2018-12-31T15:00:00Z,2019-01-01,2,416
Bourke Street Mall (South),2018-12-31T15:00:00Z,2019-01-01,2,262
Melbourne Central,2018-12-31T15:00:00Z,2019-01-01,2,NA
Town Hall (West),2018-12-31T15:00:00Z,2019-01-01,2,1927
Princes Bridge,2018-12-31T15:00:00Z,2019-01-01,2,2234
Flinders Street Station Underpass,2018-12-31T15:00:00Z,2019-01-01,2,2553
Birrarung Marr,2018-12-31T15:00:00Z,2019-01-01,2,571
Webb Bridge,2018-12-31T15:00:00Z,2019-01-01,2,138
Southern Cross Station,2018-12-31T15:00:00Z,2019-01-01,2,240
Victoria Point,2018-12-31T15:00:00Z,2019-01-01,2,202
Waterfront City,2018-12-31T15:00:00Z,2019-01-01,2,100
New Quay,2018-12-31T15:00:00Z,2019-01-01,2,363
Flagstaff Station,2018-12-31T15:00:00Z,2019-01-01,2,NA
Sandridge Bridge,2018-12-31T15:00:00Z,2019-01-01,2,2217
State Library,2018-12-31T15:00:00Z,2019-01-01,2,878
Collins St (North),2018-12-31T15:00:00Z,2019-01-01,2,259
Collins Place (South),2018-12-31T15:00:00Z,2019-01-01,2,83
Collins Place (North),2018-12-31T15:00:00Z,2019-01-01,2,70
Chinatown-Swanston St (North),2018-12-31T15:00:00Z,2019-01-01,2,469
Chinatown-Lt Bourke St (South),2018-12-31T15:00:00Z,2019-01-01,2,304
Bourke St-Russell St (West),2018-12-31T15:00:00Z,2019-01-01,2,1113
Flinders St-Elizabeth St (East),2018-12-31T15:00:00Z,2019-01-01,2,NA
Spencer St-Collins St (South),2018-12-31T15:00:00Z,2019-01-01,2,222
Spencer St-Collins St (North),2018-12-31T15:00:00Z,2019-01-01,2,896
Melbourne Convention Exhibition Centre,2018-12-31T15:00:00Z,2019-01-01,2,774
QV Market-Elizabeth St (West),2018-12-31T15:00:00Z,2019-01-01,2,370
QV Market-Peel St,2018-12-31T15:00:00Z,2019-01-01,2,72
The Arts Centre,2018-12-31T15:00:00Z,2019-01-01,2,940
St Kilda Rd-Alexandra Gardens,2018-12-31T15:00:00Z,2019-01-01,2,731
Lonsdale St (South),2018-12-31T15:00:00Z,2019-01-01,2,671
Lygon St (West),2018-12-31T15:00:00Z,2019-01-01,2,54
City Square,2018-12-31T15:00:00Z,2019-01-01,2,NA
